lektion,tid,dag
"Adm servar o n�tverk",10:00,Fredag
"Adm servar o n�tverk","10:00,11:50",Fredag
"N�tverkstechno EE22",12:00,Fredag
"N�tverkstechno EE22","12:00,13:45",Fredag
N�tverkss�k,13:50,Fredag
N�tverkss�k,"13:50,14:50",Fredag
"Tillprog EE22",15:00,Fredag
"Tillprog EE22","15:00,17:00",Fredag
Nk1a1,9:55,Fredag
Nk1a1,"9:55,11:00",Fredag
"N�tverkstek EE23",8:10,Fredag
"N�tverkstek EE23","8:10,11:00",Fredag
"Sv2 EE23",12:00,Fredag
"Sv2 EE23","12:00,14:05",Fredag
Hi1a1,14:15,Fredag
Hi1a1,"14:15,15:00",Fredag
"Adm servar o n�tverk",15:05,Fredag
"Adm servar o n�tverk","15:05,17:00",Fredag
"Sv1 EE24",9:45,Fredag
"Sv1 EE24","9:45,11:10",Fredag
"Eng5 EE24",12:10,Fredag
"Eng5 EE24","12:10,13:35",Fredag
Ma1a,13:40,Fredag
Ma1a,"13:40,15:10",Fredag
"Gymarb ES22",8:10,Fredag
"Gymarb ES22","8:10,09:30",Fredag
"Re1 EE22/TE22",8:10,Fredag
"Re1 EE22/TE22","8:10,09:50",Fredag
"Kultur hi2b",9:40,Fredag
"Kultur hi2b","9:40,11:00",Fredag
Nk1b,12:00,Fredag
Nk1b,"12:00,13:20",Fredag
Hi1b,8:10,Fredag
Hi1b,"8:10,09:30",Fredag
Ani1,9:40,Fredag
Ani1,"9:40,11:00",Fredag
Digiskap2,14:15,Fredag
Digiskap2,"14:15,15:35",Fredag
"Sv1 ES24/TE24",8:10,Fredag
"Sv1 ES24/TE24","8:10,09:30",Fredag
"Webbutveck 2",10:00,Fredag
"Webbutveck 2","10:00,11:20",Fredag
"Gymarb TE22",12:00,Fredag
"Gymarb TE22","12:00,13:20",Fredag
Ma3c,10:00,Fredag
Ma3c,"10:00,11:20",Fredag
Tek1,12:10,Fredag
Tek1,"12:10,13:30",Fredag
"Idrott1 EE23",10:00,ndag
"Idrott1 EE23","10:00,11:00",ndag
"Idrott1 EE24",12:00,ndag
"Idrott1 EE24","12:00,13:00",ndag
"Sv2 EE23",8:10,ndag
"Sv2 EE23","8:10,09:15",ndag
Datortek1a,8:10,ndag
Datortek1a,"8:10,09:35",ndag
"Idrott spec 1",13:00,ndag
"Idrott spec 1","13:00,13:50",ndag
Hi1a1,12:00,ndag
Hi1a1,"12:00,12:50",ndag
Ma2a,14:00,ndag
Ma2a,"14:00,14:50",ndag
"Japanska 1",15:00,ndag
"Japanska 1","15:00,16:50",ndag
Nk1a1,8:10,ndag
Nk1a1,"8:10,09:10",ndag
Digiskap1,9:20,ndag
Digiskap1,"9:20,11:00",ndag
"El o mikrodattek",11:50,ndag
"El o mikrodattek","11:50,13:10",ndag
N�tverksadm,13:15,ndag
N�tverksadm,"13:15,15:00",ndag
"Dator o n�tverkstek",8:10,ndag
"Dator o n�tverkstek","8:10,09:35",ndag
"N�tverkstek EE23",12:00,ndag
"N�tverkstek EE23","12:00,13:00",ndag
Mekatronik,13:15,ndag
Mekatronik,"13:15,14:55",ndag
"Idrott spec 1",15:00,ndag
"Idrott spec 1","15:00,16:20",ndag
Ma2a,15:00,ndag
Ma2a,"15:00,16:35",ndag
"N�tverkstechno EE24",10:00,ndag
"N�tverkstechno EE24","10:00,11:00",ndag
Ma1a,13:25,ndag
Ma1a,"13:25,14:55",ndag
Ma2b,8:10,ndag
Ma2b,"8:10,09:10",ndag
Sv3,9:20,ndag
Sv3,"9:20,11:00",ndag
"Konstart sam",12:00,ndag
"Konstart sam","12:00,13:30",ndag
Ma2b,15:05,ndag
Ma2b,"15:05,16:25",ndag
"Webbutveck 1 ES23/TE23",9:45,ndag
"Webbutveck 1 ES23/TE23","9:45,11:05",ndag
Ani1,12:00,ndag
Ani1,"12:00,13:50",ndag
"Graf kom1",13:55,ndag
"Graf kom1","13:55,14:55",ndag
Samh1b,13:25,ndag
Samh1b,"13:25,14:45",ndag
Prog2,11:55,ndag
Prog2,"11:55,14:55",ndag
Tek1,9:35,ndag
Tek1,"9:35,10:55",ndag
Ma1c,12:00,ndag
Ma1c,"12:00,13:20",ndag
Ma2c,12:00,ndag
Ma2c,"12:00,13:20",ndag
